Signal_Strength,Interference,Error_Rate,Synchronization,Optimization
Low,Low,Low,S,No
Low,Low,High,O,Yes
Low,Medium,Low,S,No
Low,Medium,Medium,O,Yes
Low,High,High,O,Yes
Low,High,High,S,Yes
Low,High,Medium,S,Yes
Low,High,Low,S,No
Low,Medium,High,S,Yes
Medium,Low,Medium,S,No
Medium,Low,Low,O,Yes
Medium,Medium,High,S,Yes
Medium,Medium,High,O,Yes
Medium,Low,Low,S,No
Medium,High,Low,O,Yes
Medium,High,Low,S,No
Medium,Medium,Medium,S,No
Medium,High,High,O,Yes
Medium,High,Medium,S,Yes
High,Low,Low,O,No
High,Low,Low,S,No
High,Medium,Medium,S,No
High,Medium,High,S,No
High,High,High,O,Yes
High,High,Medium,S,No
High,Low,High,S,No
High,Medium,High,O,Yes
High,Medium,Low,O,No
High,Medium,Low,S,No
